Match_No,Runs,Opponent,Ground,Date,Match_Type
132,6,Pakistan,Kolkata,03-Jan-13,ODI
133,7,Pakistan,Delhi,06-Jan-13,ODI
134,15,England,Rajkot,11-Jan-13,ODI
135,37,England,Kochi,15-Jan-13,ODI
136,77,England,Ranchi,19-Jan-13,ODI
137,26,England,Mohali,23-Jan-13,ODI
138,0,England,Dharamsala,27-Jan-13,ODI
139,107,Australia,Chennai,22-Feb-13,Test
140,34,Australia,Hyderabad,02-Mar-13,Test
141,67,Australia,Mohali,14-Mar-13,Test
142,34,Australia,Mohali,14-Mar-13,Test
143,1,Australia,Delhi,22-Mar-13,Test
144,41,Australia,Delhi,22-Mar-13,Test
145,31,South Africa,Cardiff,06-Jun-13,ODI
146,22,WestIndies,The Oval,11-Jun-13,ODI
147,22,Pakistan,Birmingham,15-Jun-13,ODI
148,58,SriLanka,Cardiff,20-Jun-13,ODI
149,43,England,Birmingham,23-Jun-13,ODI
150,11,WestIndies,Kingston,30-Jun-13,ODI
151,2,SriLanka,Kingston,02-Jul-13,ODI
152,102,WestIndies,Port of Spain,05-Jul-13,ODI
153,31,SriLanka,Port of Spain,09-Jul-13,ODI
154,2,SriLanka,Port of Spain,11-Jul-13,ODI
155,115,Zimbabwe,Harare,24-Jul-13,ODI
156,14,Zimbabwe,Harare,26-Jul-13,ODI
157,68,Zimbabwe,Harare,28-Jul-13,ODI
158,29,Australia,Rajkot,10-Oct-13,T20
159,61,Australia,Pune,13-Oct-13,ODI
160,100,Australia,Jaipur,16-Oct-13,ODI
161,68,Australia,Mohali,19-Oct-13,ODI
162,115,Australia,Nagpur,30-Oct-13,ODI
163,0,Australia,Bengaluru,02-Nov-13,ODI
164,3,WestIndies,Kolkata,06-Nov-13,Test
165,57,WestIndies,Wankhede,14-Nov-13,Test
166,86,WestIndies,Kochi,21-Nov-13,ODI
167,99,WestIndies,Visakhapatnam,24-Nov-13,ODI
168,19,WestIndies,Kanpur,27-Nov-13,ODI
169,31,South Africa,Johannesburg,05-Dec-13,ODI
170,0,South Africa,Durban,08-Dec-13,ODI
171,119,South Africa,Johannesburg,18-Dec-13,Test
172,96,South Africa,Johannesburg,18-Dec-13,Test
173,46,South Africa,Durban,26-Dec-13,Test
174,11,South Africa,Durban,26-Dec-13,Test
175,123,New Zealand,Napier,19-Jan-14,ODI
176,78,New Zealand,Hamilton,22-Jan-14,ODI
177,6,New Zealand,Auckland,25-Jan-14,ODI
178,2,New Zealand,Hamilton,28-Jan-14,ODI
179,82,New Zealand,Wellington,31-Jan-14,ODI
180,4,New Zealand,Auckland,06-Feb-14,Test
181,67,New Zealand,Auckland,06-Feb-14,Test
182,38,New Zealand,Wellington,14-Feb-14,Test
183,105,New Zealand,Wellington,14-Feb-14,Test
184,136,Bangladesh,Fatullah,26-Feb-14,ODI
185,48,SriLanka,Fatullah,28-Feb-14,ODI
186,5,Pakistan,Mirpur,02-Mar-14,ODI
187,36,Pakistan,Mirpur,21-Mar-14,T20
188,54,WestIndies,Mirpur,23-Mar-14,T20
189,57,Bangladesh,Mirpur,28-Mar-14,T20
190,23,Australia,Mirpur,30-Mar-14,T20
191,72,South Africa,Mirpur,04-Apr-14,T20
192,77,SriLanka,Mirpur,06-Apr-14,T20
193,1,England,Nottingham,09-Jul-14,Test
194,8,England,Nottingham,09-Jul-14,Test
195,25,England,Lord's,17-Jul-14,Test
196,0,England,Lord's,17-Jul-14,Test
197,39,England,Southampton,27-Jul-14,Test
198,28,England,Southampton,27-Jul-14,Test
199,0,England,Manchester,07-Aug-14,Test
200,7,England,Manchester,07-Aug-14,Test
201,6,England,The Oval,15-Aug-14,Test
202,20,England,The Oval,15-Aug-14,Test
203,0,England,Cardiff,27-Aug-14,ODI
204,40,England,Nottingham,30-Aug-14,ODI
205,1,England,Birmingham,02-Sep-14,ODI
206,13,England,Leeds,05-Sep-14,ODI
207,66,England,Birmingham,07-Sep-14,T20
208,2,WestIndies,Kochi,08-Oct-14,ODI
209,62,WestIndies,Delhi,11-Oct-14,ODI
210,127,WestIndies,Dharamsala,17-Oct-14,ODI
211,22,SriLanka,Cuttack,02-Nov-14,ODI
212,49,SriLanka,Ahmedabad,06-Nov-14,ODI
213,53,SriLanka,Hyderabad,09-Nov-14,ODI
214,66,SriLanka,Kolkata,13-Nov-14,ODI
215,139,SriLanka,Ranchi,16-Nov-14,ODI
216,115,Australia,Adelaide,09-Dec-14,Test
217,141,Australia,Adelaide,09-Dec-14,Test
218,19,Australia,Brisbane,17-Dec-14,Test
219,1,Australia,Brisbane,17-Dec-14,Test
220,169,Australia,Melbourne,26-Dec-14,Test
221,54,Australia,Melbourne,26-Dec-14,Test
222,147,Australia,Sydney,06-Jan-15,Test
223,46,Australia,Sydney,06-Jan-15,Test
224,9,Australia,Melbourne,18-Jan-15,ODI
225,4,England,Brisbane,20-Jan-15,ODI
226,3,Australia,Sydney,26-Jan-15,ODI
227,8,England,Perth,30-Jan-15,ODI
228,107,Pakistan,Adelaide,15-Feb-15,ODI
229,46,South Africa,Melbourne,22-Feb-15,ODI
230,33,U.A.E.,Perth,28-Feb-15,ODI
231,33,WestIndies,Perth,06-Mar-15,ODI
232,44,Ireland,Hamilton,10-Mar-15,ODI
233,38,Zimbabwe,Auckland,14-Mar-15,ODI
234,3,Bangladesh,Melbourne,19-Mar-15,ODI
235,1,Australia,Sydney,26-Mar-15,ODI
236,14,Bangladesh,Fatullah,10-Jun-15,Test
237,1,Bangladesh,Mirpur,18-Jun-15,ODI
238,23,Bangladesh,Mirpur,21-Jun-15,ODI
239,25,Bangladesh,Mirpur,24-Jun-15,ODI
240,103,SriLanka,Galle,12-Aug-15,Test
241,3,SriLanka,Galle,12-Aug-15,Test
242,78,SriLanka,Colombo(PSS),20-Aug-15,Test
243,10,SriLanka,Colombo(PSS),20-Aug-15,Test
244,18,SriLanka,Colombo(SSC),28-Aug-15,Test
245,21,SriLanka,Colombo(SSC),28-Aug-15,Test
246,43,South Africa,Dharamsala,02-Oct-15,T20
247,1,South Africa,Cuttack,05-Oct-15,T20
