Match_No,Runs,Opponent,Ground,Date,Match_Type
368,20,England,Manchester,03-Jul-18,T20
369,47,England,Cardiff,06-Jul-18,T20
370,43,England,Bristol,08-Jul-18,T20
371,75,England,Nottingham,12-Jul-18,ODI
372,45,England,Lord's,14-Jul-18,ODI
373,71,England,Leeds,17-Jul-18,ODI
374,149,England,Birmingham,01-Aug-18,Test
375,51,England,Birmingham,01-Aug-18,Test
376,23,England,Lord's,09-Aug-18,Test
377,17,England,Lord's,09-Aug-18,Test
378,97,England,Nottingham,18-Aug-18,Test
379,103,England,Nottingham,18-Aug-18,Test
380,46,England,Southampton,30-Aug-18,Test
381,58,England,Southampton,30-Aug-18,Test
382,49,England,The Oval,07-Sep-18,Test
383,0,England,The Oval,07-Sep-18,Test
384,139,WestIndies,Rajkot,04-Oct-18,Test
385,45,WestIndies,Hyderabad,12-Oct-18,Test
386,140,WestIndies,Guwahati,21-Oct-18,ODI
387,157,WestIndies,Visakhapatnam,24-Oct-18,ODI
388,107,WestIndies,Pune,27-Oct-18,ODI
389,16,WestIndies,Brabourne,29-Oct-18,ODI
390,33,WestIndies,Thiruvananthapuram,01-Nov-18,ODI
391,4,Australia,Brisbane,21-Nov-18,T20
392,61,Australia,Sydney,25-Nov-18,T20
393,3,Australia,Adelaide,06-Dec-18,Test
394,34,Australia,Adelaide,06-Dec-18,Test
395,123,Australia,Perth,14-Dec-18,Test
396,17,Australia,Perth,14-Dec-18,Test
397,82,Australia,Melbourne,26-Dec-18,Test
398,0,Australia,Melbourne,26-Dec-18,Test
399,23,Australia,Sydney,03-Jan-19,Test
400,3,Australia,Sydney,12-Jan-19,ODI
401,104,Australia,Adelaide,15-Jan-19,ODI
402,46,Australia,Melbourne,18-Jan-19,ODI
403,45,New Zealand,Napier,23-Jan-19,ODI
404,43,New Zealand,MountMaunganui,26-Jan-19,ODI
405,60,New Zealand,MountMaunganui,28-Jan-19,ODI
406,24,Australia,Visakhapatnam,24-Feb-19,T20
407,72,Australia,Bengaluru,27-Feb-19,T20
408,44,Australia,Hyderabad,02-Mar-19,ODI
409,116,Australia,Nagpur,05-Mar-19,ODI
410,123,Australia,Ranchi,08-Mar-19,ODI
411,7,Australia,Mohali,10-Mar-19,ODI
412,20,Australia,Delhi,13-Mar-19,ODI
413,18,South Africa,Southampton,05-Jun-19,ODI
414,82,Australia,The Oval,09-Jun-19,ODI
415,77,Pakistan,Manchester,16-Jun-19,ODI
416,67,Afghanistan,Southampton,22-Jun-19,ODI
417,72,WestIndies,Manchester,27-Jun-19,ODI
418,66,England,Birmingham,30-Jun-19,ODI
419,26,Bangladesh,Birmingham,02-Jul-19,ODI
420,34,SriLanka,Leeds,06-Jul-19,ODI
421,1,New Zealand,Manchester,09-Jul-19,ODI
422,19,WestIndies,Lauderhill,03-Aug-19,T20
423,28,WestIndies,Lauderhill,04-Aug-19,T20
424,59,WestIndies,Providence,06-Aug-19,T20
425,120,WestIndies,Port of Spain,11-Aug-19,ODI
426,114,WestIndies,Port of Spain,14-Aug-19,ODI
427,9,WestIndies,NorthSound,22-Aug-19,Test
428,51,WestIndies,NorthSound,22-Aug-19,Test
429,76,WestIndies,Kingston,30-Aug-19,Test
430,0,WestIndies,Kingston,30-Aug-19,Test
431,72,South Africa,Mohali,18-Sep-19,T20
432,9,South Africa,Bengaluru,22-Sep-19,T20
433,20,South Africa,Visakhapatnam,02-Oct-19,Test
434,31,South Africa,Visakhapatnam,02-Oct-19,Test
435,254,South Africa,Pune,10-Oct-19,Test
436,12,South Africa,Ranchi,19-Oct-19,Test
437,0,Bangladesh,Indore,14-Nov-19,Test
438,136,Bangladesh,Kolkata,22-Nov-19,Test
439,94,WestIndies,Hyderabad,06-Dec-19,T20
440,19,WestIndies,Thiruvananthapuram,08-Dec-19,T20
441,70,WestIndies,Wankhede,11-Dec-19,T20
442,4,WestIndies,Chennai,15-Dec-19,ODI
443,0,WestIndies,Visakhapatnam,18-Dec-19,ODI
444,85,WestIndies,Cuttack,22-Dec-19,ODI
445,30,SriLanka,Indore,07-Jan-20,T20
446,26,SriLanka,Pune,10-Jan-20,T20
447,16,Australia,Wankhede,14-Jan-20,ODI
448,78,Australia,Rajkot,17-Jan-20,ODI
449,89,Australia,Bengaluru,19-Jan-20,ODI
450,45,New Zealand,Auckland,24-Jan-20,T20
451,11,New Zealand,Auckland,26-Jan-20,T20
452,38,New Zealand,Hamilton,29-Jan-20,T20
453,11,New Zealand,Wellington,31-Jan-20,T20
454,51,New Zealand,Hamilton,05-Feb-20,ODI
455,15,New Zealand,Auckland,08-Feb-20,ODI
456,9,New Zealand,MountMaunganui,11-Feb-20,ODI
457,2,New Zealand,Wellington,21-Feb-20,Test
458,19,New Zealand,Wellington,21-Feb-20,Test
459,3,New Zealand,Christchurch,29-Feb-20,Test
460,14,New Zealand,Christchurch,29-Feb-20,Test
461,21,Australia,Sydney,27-Nov-20,ODI
462,89,Australia,Sydney,29-Nov-20,ODI
463,63,Australia,Canberra,02-Dec-20,ODI
464,9,Australia,Canberra,04-Dec-20,T20
465,40,Australia,Sydney,06-Dec-20,T20
466,85,Australia,Sydney,08-Dec-20,T20
467,74,Australia,Adelaide,17-Dec-20,Test
468,4,Australia,Adelaide,17-Dec-20,Test
469,11,England,Chennai,05-Feb-21,Test
470,72,England,Chennai,05-Feb-21,Test
471,0,England,Chennai,13-Feb-21,Test
472,62,England,Chennai,13-Feb-21,Test
473,27,England,Ahmedabad,24-Feb-21,Test
474,0,England,Ahmedabad,04-Mar-21,Test
475,0,England,Ahmedabad,12-Mar-21,T20
476,73,England,Ahmedabad,14-Mar-21,T20
477,77,England,Ahmedabad,16-Mar-21,T20
478,1,England,Ahmedabad,18-Mar-21,T20
479,80,England,Ahmedabad,20-Mar-21,T20
480,56,England,Pune,23-Mar-21,ODI
481,66,England,Pune,26-Mar-21,ODI
482,7,England,Pune,28-Mar-21,ODI
483,44,New Zealand,Southampton,18-Jun-21,Test
484,13,New Zealand,Southampton,18-Jun-21,Test
485,0,England,Nottingham,04-Aug-21,Test
486,42,England,Lord's,12-Aug-21,Test
487,20,England,Lord's,12-Aug-21,Test
488,7,England,Leeds,25-Aug-21,Test
489,55,England,Leeds,25-Aug-21,Test
490,50,England,The Oval,02-Sep-21,Test
491,44,England,The Oval,02-Sep-21,Test
492,57,Pakistan,Dubai(DSC),24-Oct-21,T20
493,9,New Zealand,Dubai(DSC),31-Oct-21,T20
494,2,Scotland,Dubai(DSC),05-Nov-21,T20
495,0,New Zealand,Wankhede,03-Dec-21,Test
496,36,New Zealand,Wankhede,03-Dec-21,Test
497,35,South Africa,Centurion,26-Dec-21,Test
498,18,South Africa,Centurion,26-Dec-21,Test
499,79,South Africa,CapeTown,11-Jan-22,Test
